review_score,review_comment_message,review_creation_date,label,processed_review_comment
5,"Só achei ela pequena pra seis xícaras ,mais é um bom produto
",2017-08-08 00:00:00,1,"achar pequeno pra seis xícara , bom produto"
5,Entrega antes da data marcada. Excelente,2018-06-20 00:00:00,1,entregar antes data marcar . excelente
5,estou satisfeito,2018-08-15 00:00:00,1,satisfeito
5,Mais uma ve satisfeito ,2018-05-09 00:00:00,1,ve satisfeito
5,"Muito boa a compra, dentro do prazo.",2017-12-08 00:00:00,1,"bom compra , dentro prazo ."
1,"O produto está na transportadora há dias e até hj não foi entregue. Prazo pra entrega dia 07/06. Péssimo nunca aconteceu
",2018-06-09 00:00:00,0,produto transportadora dia hj não entregar . prazo pra entrega dia 07/06 . péssimo nunca acontecer
5,"Gostei bastante mas,a fragrância e mais fraca",2018-07-13 00:00:00,1,"gostar bastante , fragrância fraco"
5,a minha é que essa loja é ótima e eu recomendo a qualquer pessoa obrigado.,2017-11-26 00:00:00,1,loja ótimo recomer qualquer pessoa obrigar .
5,muito bom obrigada ,2018-04-13 00:00:00,1,bom obrigado
5,Recebi muito antes do prazo. Amei! Foi meu presente do Dia das Mães. ,2018-05-11 00:00:00,1,recebir antes prazo . amei ! presente dia mães .
5,"entrega no prazo, amei",2018-08-29 00:00:00,1,"entregar prazo , ameir"
1,Péssimo atendimento!,2018-05-16 00:00:00,0,péssimo atendimento !
5,xx,2018-06-19 00:00:00,1,xx
5,Fui muito bem atendida,2018-05-09 00:00:00,1,bem atendido
5,"Muito bom, recomendo, tudo dentro do prazo!!!",2018-08-01 00:00:00,1,"bom , recomer , tudo dentro prazo ! ! !"
5,Parabéns pela rapides e eficiencia obrigado,2018-03-06 00:00:00,1,parabéns rapide eficiencia obrigar
5,Produto entregue antes do prazo estipulado! Recomendo a compra!,2018-07-26 00:00:00,1,produto entregar antes prazo estipular ! recomendar compra !
5,"Ja tenho outros produtos que vou compar em breve, preços muito bom, estive informado o tempo todo da trajetória do produto, chegou em perfeita ordem, parabéns a todos. Já estou indicando psra os amig",2017-11-25 00:00:00,1,"ja outro produto ir compar breve , preço bom , informar tempo todo trajetória produto , chegar perfeito ordem , parabéns todo . indicar psra amig"
5,Recebi antes do prazo e o produto veio bem embalado só tenho a agradecer a vcs,2017-12-16 00:00:00,1,recebir antes prazo produto vir bem embalar agradecer vcs
5,Produto perfeito,2018-06-23 00:00:00,1,produto perfeito
5,"ENTREGARAM TUDO CERTO, E ANTES DO PRAZO...",2018-01-23 00:00:00,1,"entregar tudo certo , antes prazo ..."
5,"A entrega estava prevista para 16/08 e foi entregue em 08/08!!!!!!

Excelente, produto chegou intacto!",2018-08-09 00:00:00,1,"entregar prever 16/08 entregar 08/08 ! ! ! ! ! ! excelente , produto chegar intacto !"
5,muito bom...pedido entregue no prazo e produto Veio correto...estou muito satisfeito...recomendo...obrigado ,2017-11-26 00:00:00,1,bom ... pedido entregar prazo produto vir correto ... satisfeito ... recomendo ... obrigar
5,Foi tudo perfeito.,2018-01-13 00:00:00,1,tudo perfeito .
